awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
Brooklyn Nets,New Orleans Pelicans,103,105,338,-417,15,1/30/2016
Atlanta Hawks,Indiana Pacers,92,111,123,-141,15,1/28/2016
Denver Nuggets,Washington Wizards,117,113,268,-323,15,1/28/2016
Phoenix Suns,Cleveland Cavaliers,93,115,1718,-5000,15,1/27/2016
Los Angeles Clippers,Indiana Pacers,91,89,-109,-106,15,1/26/2016
Phoenix Suns,Philadelphia 76ers,103,113,110,-128,15,1/26/2016
Minnesota Timberwolves,Cleveland Cavaliers,107,114,807,-1250,15,1/25/2016
Boston Celtics,Washington Wizards,116,91,129,-149,15,1/25/2016
Boston Celtics,Philadelphia 76ers,112,92,-370,296,15,1/24/2016
New York Knicks,Charlotte Hornets,84,97,-120,102,15,1/23/2016
Milwaukee Bucks,New Orleans Pelicans,99,116,220,-263,15,1/23/2016
Charlotte Hornets,Orlando Magic,120ÿ,116,173,-204,15,1/22/2016
Philadelphia 76ers,Orlando Magic,96,87,282,-333,15,1/20/2016
Miami Heat,Washington Wizards,87,106,192,-222,15,1/20/2016
Miami Heat,Oklahoma City Thunder,74,99,426,-556,15,1/17/2016
Dallas Mavericks,San Antonio Spurs,83,112,705,-1000,15,1/17/2016
Milwaukee Bucks,Charlotte Hornets,105,92,186,-217,15,1/16/2016
Washington Wizards,Indiana Pacers,118,104,256,-312,15,1/15/2016
Minnesota Timberwolves,Oklahoma City Thunder,93,113,841,-1250,15,1/15/2016
Chicago Bulls,Philadelphia 76ers,115ÿ,111,-417,334,15,1/14/2016
Atlanta Hawks,Charlotte Hornets,84,107,-145,127,15,1/13/2016
Milwaukee Bucks,Washington Wizards,101,106,191,-222,15,1/13/2016
Phoenix Suns,Indiana Pacers,97,116,662,-909,15,1/12/2016
Indiana Pacers,Houston Rockets,103ÿ,107,114,-130,15,1/10/2016
Washington Wizards,Orlando Magic,105,99,137,-156,15,1/9/2016
Toronto Raptors,Washington Wizards,97,88,-132,114,15,1/8/2016
Atlanta Hawks,Philadelphia 76ers,126,98,-476,376,15,1/7/2016
New York Knicks,Miami Heat,98,90,284,-345,15,1/6/2016
Indiana Pacers,Orlando Magic,95,86,-159,138,15,1/6/2016
Cleveland Cavaliers,Washington Wizards,121,115,-333,281,15,1/6/2016
Toronto Raptors,Cleveland Cavaliers,100,122,307,-370,15,1/4/2016
Minnesota Timberwolves,Philadelphia 76ers,99,109,-250,214,15,1/4/2016
Oklahoma City Thunder,Charlotte Hornets,109,90,-435,359,15,1/2/2016
Detroit Pistons,Indiana Pacers,82,94,164,-189,15,1/2/2016
Orlando Magic,Washington Wizards,91,103,106,-122,15,1/1/2016
Golden State Warriors,Houston Rockets,114,110,136,-156,15,12/31/2015
Los Angeles Clippers,Charlotte Hornets,122,117,-133,117,15,12/30/2015
Brooklyn Nets,Orlando Magic,93,100,275,-333,15,12/30/2015
Los Angeles Lakers,Charlotte Hornets,98,108,736,-1111,15,12/28/2015
Atlanta Hawks,Indiana Pacers,87,93,100,-115,15,12/28/2015
New Orleans Pelicans,Orlando Magic,89,104,156,-182,15,12/28/2015
Los Angeles Clippers,Washington Wizards,108,91,-102,-114,15,12/28/2015
New York Knicks,Boston Celtics,91,100,324,-400,15,12/27/2015
Denver Nuggets,Oklahoma City Thunder,112,122,1602,-3333,15,12/27/2015
Memphis Grizzlies,Charlotte Hornets,92,98,123,-141,15,12/26/2015
Houston Rockets,New Orleans Pelicans,108,110,-116,102,15,12/26/2015
Miami Heat,Orlando Magic,108,101,175,-204,15,12/26/2015
Boston Celtics,Charlotte Hornets,102,89,112,-130,15,12/23/2015
New York Knicks,Cleveland Cavaliers,84,91,790,-1250,15,12/23/2015
Sacramento Kings,Indiana Pacers,108,106,244,-294,15,12/23/2015
Houston Rockets,Orlando Magic,101,104,-104,-111,15,12/23/2015
Memphis Grizzlies,Washington Wizards,91,100,-120,104,15,12/23/2015
Memphis Grizzlies,Philadelphia 76ers,104,90,-588,455,15,12/22/2015
Sacramento Kings,Washington Wizards,99,113,124,-143,16,12/21/2015
Charlotte Hornets,Washington Wizards,101,109,-118,102,14,12/19/2015
Brooklyn Nets,Indiana Pacers,97,104,467,-625,15,12/18/2015
Portland Trail Blazers,Orlando Magic,94,102,156,-182,15,12/18/2015
New York Knicks,Philadelphia 76ers,107,97,-256,216,15,12/18/2015
Toronto Raptors,Charlotte Hornets,99ÿ,109,-141,120,15,12/17/2015
Dallas Mavericks,Indiana Pacers,81,107,154,-179,15,12/16/2015
Charlotte Hornets,Orlando Magic,98,113,-114,-101,15,12/16/2015
Toronto Raptors,Indiana Pacers,90,106,164,-189,15,12/14/2015
Utah Jazz,Oklahoma City Thunder,98ÿ,104,382,-476,15,12/13/2015
Boston Celtics,Charlotte Hornets,98,93,131,-149,15,12/12/2015
Miami Heat,Indiana Pacers,83,96,167,-192,15,12/11/2015
Cleveland Cavaliers,Orlando Magic,111,76,-154,133,15,12/11/2015
Detroit Pistons,Philadelphia 76ers,107,95,-435,349,15,12/11/2015
