awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
Denver Nuggets,Minnesota Timberwolves,78,74,141,-161,15,1/6/2016
Dallas Mavericks,New Orleans Pelicans,100,91,301,-370,15,1/6/2016
New York Knicks,Atlanta Hawks,107,101,284,-345,15,1/5/2016
Milwaukee Bucks,Chicago Bulls,106,117,326,-400,15,1/5/2016
San Antonio Spurs,Milwaukee Bucks,123,98,-526,426,15,1/4/2016
Sacramento Kings,Oklahoma City Thunder,116,104,287,-357,15,1/4/2016
Milwaukee Bucks,Minnesota Timberwolves,95,85,108,-123,15,1/2/2016
New York Knicks,Chicago Bulls,81,108,245,-294,15,1/1/2016
Los Angeles Clippers,New Orleans Pelicans,95,89,106,-120,15,12/31/2015
Phoenix Suns,Oklahoma City Thunder,106,110,1313,-2500,15,12/31/2015
Indiana Pacers,Chicago Bulls,100ÿ,102,133,-152,15,12/30/2015
Utah Jazz,Minnesota Timberwolves,80,94,152,-175,15,12/30/2015
Atlanta Hawks,Houston Rockets,121,115,143,-164,15,12/29/2015
Miami Heat,Memphis Grizzlies,90ÿ,99,170,-196,15,12/29/2015
Milwaukee Bucks,Oklahoma City Thunder,123,131,956,-1429,15,12/29/2015
Toronto Raptors,Chicago Bulls,97,104,102,-118,15,12/28/2015
Indiana Pacers,Minnesota Timberwolves,102,88,-175,152,15,12/26/2015
San Antonio Spurs,Houston Rockets,84,88,-303,252,15,12/25/2015
Detroit Pistons,Atlanta Hawks,100,107,225,-263,15,12/23/2015
Philadelphia 76ers,Milwaukee Bucks,100,113,534,-714,15,12/23/2015
San Antonio Spurs,Minnesota Timberwolves,108,83,-667,519,15,12/23/2015
Portland Trail Blazers,New Orleans Pelicans,89,115,276,-333,15,12/23/2015
Portland Trail Blazers,Atlanta Hawks,97,106,507,-667,15,12/21/2015
Brooklyn Nets,Chicago Bulls,105,102,513,-667,16,12/21/2015
Charlotte Hornets,Houston Rockets,95,102,135,-156,16,12/21/2015
New Orleans Pelicans,Denver Nuggets,130,125,-105,-110,15,12/20/2015
Los Angeles Clippers,Houston Rockets,97,107,-141,120,15,12/19/2015
Indiana Pacers,Memphis Grizzlies,84,96,-110,-105,15,12/19/2015
Detroit Pistons,Chicago Bulls,147ÿ,144,175,-208,15,12/18/2015
Toronto Raptors,Miami Heat,108,94,160,-185,15,12/18/2015
Sacramento Kings,Minnesota Timberwolves,95,99,-139,118,15,12/18/2015
Los Angeles Clippers,San Antonio Spurs,107,115,288,-345,15,12/18/2015
Oklahoma City Thunder,Cleveland Cavaliers,100,104,121,-139,15,12/17/2015
Philadelphia 76ers,Atlanta Hawks,106,127,931,-1429,15,12/16/2015
Memphis Grizzlies,Chicago Bulls,85,98,159,-182,15,12/16/2015
Portland Trail Blazers,Oklahoma City Thunder,90,106,453,-588,15,12/16/2015
Denver Nuggets,Minnesota Timberwolves,112,100,211,-250,15,12/15/2015
Miami Heat,Atlanta Hawks,100,88,217,-256,15,12/14/2015
Philadelphia 76ers,Chicago Bulls,96,115,939,-1429,15,12/14/2015
Washington Wizards,Memphis Grizzlies,95,112,144,-167,15,12/14/2015
San Antonio Spurs,Atlanta Hawks,103,78,-147,127,15,12/12/2015
New Orleans Pelicans,Chicago Bulls,94,98,267,-312,15,12/12/2015
Los Angeles Lakers,Houston Rockets,97,126,625,-833,15,12/12/2015
Charlotte Hornets,Memphis Grizzlies,123,99,127,-147,15,12/11/2015
Washington Wizards,New Orleans Pelicans,105,107,144,-167,15,12/11/2015
Los Angeles Clippers,Chicago Bulls,80,83,-120,102,15,12/10/2015
Atlanta Hawks,Oklahoma City Thunder,94,107,280,-333,15,12/10/2015
Los Angeles Clippers,Milwaukee Bucks,109,95,-222,188,16,12/9/2015
Los Angeles Lakers,Minnesota Timberwolves,122ÿ,123,266,-323,16,12/9/2015
Oklahoma City Thunder,Memphis Grizzlies,125,88,-132,114,15,12/8/2015
Phoenix Suns,Chicago Bulls,103,101,242,-286,15,12/7/2015
Portland Trail Blazers,Milwaukee Bucks,88,90,-115,100,15,12/7/2015
Los Angeles Clippers,Minnesota Timberwolves,110,106,-172,149,15,12/7/2015
Boston Celtics,New Orleans Pelicans,111,93,-112,-103,15,12/7/2015
Charlotte Hornets,Chicago Bulls,102,96,194,-227,15,12/5/2015
Sacramento Kings,Houston Rockets,113,120,138,-159,15,12/5/2015
Cleveland Cavaliers,Miami Heat,84,99,174,-204,15,12/5/2015
Portland Trail Blazers,Minnesota Timberwolves,109,103,106,-123,15,12/5/2015
Los Angeles Lakers,Atlanta Hawks,87,100,566,-769,15,12/4/2015
Toronto Raptors,Atlanta Hawks,96,86,154,-182,16,12/2/2015
Denver Nuggets,Chicago Bulls,90,99,416,-526,16,12/2/2015
New Orleans Pelicans,Houston Rockets,101,108,139,-161,16,12/2/2015
Orlando Magic,Minnesota Timberwolves,96,93,104,-120,16,12/1/2015
Memphis Grizzlies,New Orleans Pelicans,113,104,-104,-110,16,12/1/2015
Oklahoma City Thunder,Atlanta Hawks,100,106,-152,133,16,11/30/2015
San Antonio Spurs,Chicago Bulls,89,92,-179,156,16,11/30/2015
Denver Nuggets,Milwaukee Bucks,74,92,145,-169,16,11/30/2015
Philadelphia 76ers,Houston Rockets,114,116,536,-714,16,11/27/2015
Chicago Bulls,Indiana Pacers,92,104,142,-164,16,11/27/2015
Atlanta Hawks,Memphis Grizzlies,116,101,127,-149,16,11/27/2015
Detroit Pistons,Oklahoma City Thunder,87,103,311,-370,16,11/27/2015
Memphis Grizzlies,Houston Rockets,102,93,142,-164,16,11/25/2015
Sacramento Kings,Milwaukee Bucks,129,118,162,-189,16,11/25/2015
Atlanta Hawks,Minnesota Timberwolves,95,99,-156,133,16,11/25/2015
Brooklyn Nets,Oklahoma City Thunder,99,110,695,-1000,16,11/25/2015
Boston Celtics,Atlanta Hawks,97,121,119,-139,16,11/24/2015
Dallas Mavericks,Memphis Grizzlies,96,110,134,-154,16,11/24/2015
Detroit Pistons,Milwaukee Bucks,88,109,-147,127,16,11/23/2015
Philadelphia 76ers,Minnesota Timberwolves,95,100,281,-345,16,11/23/2015
Golden State Warriors,Denver Nuggets,118,105,-1000,721,16,11/22/2015
New York Knicks,Houston Rockets,107,102,156,-182,16,11/21/2015
Philadelphia 76ers,Miami Heat,91,96,799,-1250,16,11/21/2015
Houston Rockets,Memphis Grizzlies,84,96,127,-147,16,11/20/2015
Detroit Pistons,Minnesota Timberwolves,96,86,-135,117,16,11/20/2015
San Antonio Spurs,New Orleans Pelicans,90,104,-333,275,16,11/20/2015
New York Knicks,Oklahoma City Thunder,93,90,220,-263,16,11/20/2015
Milwaukee Bucks,Cleveland Cavaliers,100,115,504,-667,16,11/19/2015
Sacramento Kings,Atlanta Hawks,97,103,120,-139,16,11/18/2015
Portland Trail Blazers,Houston Rockets,103ÿ,108,235,-286,16,11/18/2015
New Orleans Pelicans,Oklahoma City Thunder,103,110,688,-1000,16,11/18/2015
Denver Nuggets,New Orleans Pelicans,115,98,200,-238,16,11/17/2015
Indiana Pacers,Chicago Bulls,95,96,227,-278,16,11/16/2015
Boston Celtics,Houston Rockets,111,95,167,-196,16,11/16/2015
Oklahoma City Thunder,Memphis Grizzlies,114,122,125,-145,16,11/16/2015
Dallas Mavericks,Houston Rockets,110,98,274,-333,16,11/14/2015
Charlotte Hornets,Chicago Bulls,97,102,233,-278,16,11/13/2015
Portland Trail Blazers,Memphis Grizzlies,100,101,229,-278,16,11/13/2015
Philadelphia 76ers,Oklahoma City Thunder,85,102,877,-1429,16,11/13/2015
Golden State Warriors,Minnesota Timberwolves,129,116,-625,469,16,11/12/2015
Brooklyn Nets,Houston Rockets,106,98,674,-1000,16,11/11/2015
Golden State Warriors,Memphis Grizzlies,100,84,-333,271,16,11/11/2015
New Orleans Pelicans,Atlanta Hawks,98,106,758,-1111,16,11/11/2015
Los Angeles Clippers,Dallas Mavericks,108,118,-286,240,16,11/11/2015
Boston Celtics,Milwaukee Bucks,99,83,-133,114,16,11/10/2015
Charlotte Hornets,Minnesota Timberwolves,104,95,-159,138,16,11/10/2015
Dallas Mavericks,New Orleans Pelicans,105,120,119,-139,16,11/10/2015
Minnesota Timberwolves,Atlanta Hawks,117,107,334,-417,16,11/9/2015
Miami Heat,Indiana Pacers,87,90,-111,-108,16,11/6/2015
Atlanta Hawks,New Orleans Pelicans,121,115,-145,123,16,11/6/2015
Oklahoma City Thunder,Chicago Bulls,98,104,-106,-111,16,11/5/2015
Miami Heat,Minnesota Timberwolves,96,84,-182,154,16,11/5/2015
Los Angeles Lakers,San Antonio Spurs,102,106,1519,-3333,16,2/6/2016
Miami Heat,Dallas Mavericks,93,90,124,-145,16,2/3/2016
New Orleans Pelicans,San Antonio Spurs,97,110,777,-1111,16,2/3/2016
Orlando Magic,San Antonio Spurs,92,107,1452,-3333,15,2/1/2016
San Antonio Spurs,Cleveland Cavaliers,103,117,-118,102,15,1/30/2016
Brooklyn Nets,Dallas Mavericks,79,91,320,-400,15,1/29/2016
Chicago Bulls,Cleveland Cavaliers,96,83,480,-625,15,1/23/2016
Oklahoma City Thunder,Dallas Mavericks,109,106,-278,233,15,1/22/2016
Minnesota Timberwolves,Dallas Mavericks,94ÿ,106,229,-270,15,1/20/2016
Boston Celtics,Dallas Mavericks,113ÿ,118,-130,112,15,1/18/2016
Cleveland Cavaliers,Dallas Mavericks,110ÿ,107,-238,204,15,1/12/2016
New York Knicks,San Antonio Spurs,99,100,1190,-2000,15,1/8/2016
Utah Jazz,San Antonio Spurs,98,123,985,-1667,15,1/6/2016
Sacramento Kings,Dallas Mavericks,116ÿ,117,229,-278,15,1/5/2016
New Orleans Pelicans,Dallas Mavericks,105,98,147,-169,15,1/2/2016
Houston Rockets,San Antonio Spurs,103,121,564,-769,15,1/2/2016
Golden State Warriors,Dallas Mavericks,91,114,-167,144,15,12/30/2015
Phoenix Suns,San Antonio Spurs,79,112,1272,-2500,15,12/30/2015
Milwaukee Bucks,Dallas Mavericks,93,103,219,-256,15,12/28/2015
Minnesota Timberwolves,San Antonio Spurs,95,101,1024,-1667,15,12/28/2015
Chicago Bulls,Dallas Mavericks,111,118,122,-139,15,12/26/2015
Denver Nuggets,San Antonio Spurs,86,101,1119,-2000,15,12/26/2015
Indiana Pacers,San Antonio Spurs,92,106,376,-476,16,12/21/2015
Memphis Grizzlies,Dallas Mavericks,88,97,119,-139,15,12/18/2015
Washington Wizards,San Antonio Spurs,95,114,813,-1250,15,12/16/2015
Phoenix Suns,Dallas Mavericks,94,104,154,-175,15,12/14/2015
Utah Jazz,San Antonio Spurs,81,118,738,-1111,15,12/14/2015
Washington Wizards,Dallas Mavericks,114,111,231,-278,15,12/12/2015
Golden State Warriors,Milwaukee Bucks,95,108,-500,400,15,12/12/2015
New York Knicks,Milwaukee Bucks,91,106,-135,117,15,12/5/2015
Boston Celtics,San Antonio Spurs,105,108,353,-435,15,12/5/2015
Houston Rockets,Dallas Mavericks,100,96,181,-213,16,12/4/2015
Milwaukee Bucks,San Antonio Spurs,70,95,677,-1000,16,12/2/2015
Denver Nuggets,Dallas Mavericks,81,92,326,-400,16,11/28/2015
Atlanta Hawks,San Antonio Spurs,88,108,263,-312,16,11/28/2015
Dallas Mavericks,San Antonio Spurs,83,88,437,-588,16,11/25/2015
Phoenix Suns,San Antonio Spurs,84,98,455,-588,16,11/23/2015
Memphis Grizzlies,San Antonio Spurs,82,92,287,-345,16,11/21/2015
Utah Jazz,Dallas Mavericks,93,102,102,-119,16,11/20/2015
Denver Nuggets,San Antonio Spurs,98,109,874,-1429,16,11/18/2015
Portland Trail Blazers,San Antonio Spurs,80,93,700,-1000,16,11/16/2015
Cleveland Cavaliers,Milwaukee Bucks,105ÿ,108,-222,187,16,11/14/2015
Philadelphia 76ers,San Antonio Spurs,83,92,1510,-3333,16,11/14/2015
Los Angeles Lakers,Dallas Mavericks,82,90,287,-345,16,11/13/2015
New Orleans Pelicans,Dallas Mavericks,98,107,175,-208,16,11/7/2015
Brooklyn Nets,Milwaukee Bucks,86,94,225,-270,16,11/7/2015
Charlotte Hornets,San Antonio Spurs,94,114,423,-556,16,11/7/2015
Charlotte Hornets,Dallas Mavericks,108,94,154,-182,16,11/5/2015
Oklahoma City Thunder,Golden State Warriors,108,116,272,-333,16,2/6/2016
Utah Jazz,Phoenix Suns,98,89,-286,237,16,2/6/2016
Chicago Bulls,Denver Nuggets,110,115,118,-137,16,2/5/2016
Milwaukee Bucks,Utah Jazz,81,84,252,-312,16,2/5/2016
Houston Rockets,Phoenix Suns,111,105,-345,286,16,2/4/2016
Denver Nuggets,Utah Jazz,81,85,296,-370,16,2/3/2016
Toronto Raptors,Phoenix Suns,104,97,-476,380,15,2/2/2016
Toronto Raptors,Denver Nuggets,93,112,-192,163,15,2/1/2016
Chicago Bulls,Utah Jazz,96ÿ,105,181,-213,15,2/1/2016
Minnesota Timberwolves,Portland Trail Blazers,93,96,231,-278,15,1/31/2016
Minnesota Timberwolves,Utah Jazz,90,103,337,-417,15,1/29/2016
Charlotte Hornets,Utah Jazz,73,102,235,-278,15,1/27/2016
Atlanta Hawks,Denver Nuggets,119,105,-167,145,15,1/25/2016
Detroit Pistons,Utah Jazz,95,92,124,-143,15,1/25/2016
Atlanta Hawks,Phoenix Suns,95,98,-769,564,15,1/23/2016
Memphis Grizzlies,Denver Nuggets,102,101,-143,124,15,1/21/2016
Oklahoma City Thunder,Denver Nuggets,110,104,-435,347,15,1/19/2016
Indiana Pacers,Phoenix Suns,97,94,-233,196,15,1/19/2016
Los Angeles Lakers,Utah Jazz,82,109,320,-400,15,1/16/2016
Miami Heat,Denver Nuggets,98,95,-132,114,15,1/15/2016
Sacramento Kings,Utah Jazz,103,101,127,-147,15,1/14/2016
Golden State Warriors,Denver Nuggets,110,112,-526,416,15,1/13/2016
Oklahoma City Thunder,Portland Trail Blazers,110,115,-357,294,15,1/10/2016
Miami Heat,Utah Jazz,83,98,-111,-103,15,1/9/2016
Charlotte Hornets,Phoenix Suns,102,111,-127,112,15,1/6/2016
Houston Rockets,Utah Jazz,93,91,-156,136,15,1/4/2016
Portland Trail Blazers,Denver Nuggets,112,106,-130,114,15,1/3/2016
Memphis Grizzlies,Utah Jazz,87ÿ,92,-125,110,14,1/2/2016
Portland Trail Blazers,Utah Jazz,96,109,134,-154,15,12/31/2015
Cleveland Cavaliers,Denver Nuggets,93,87,-263,225,15,12/29/2015
Cleveland Cavaliers,Phoenix Suns,101,97,-526,420,15,12/28/2015
Philadelphia 76ers,Utah Jazz,91,95,342,-417,15,12/28/2015
Portland Trail Blazers,Sacramento Kings,98,94,351,-435,15,12/27/2015
Philadelphia 76ers,Phoenix Suns,111,104,568,-769,15,12/26/2015
Los Angeles Clippers,Utah Jazz,109,104,-130,112,15,12/26/2015
Denver Nuggets,Phoenix Suns,104,96,355,-455,15,12/23/2015
Los Angeles Lakers,Denver Nuggets,111,107,190,-222,15,12/22/2015
Phoenix Suns,Utah Jazz,89,110,154,-179,16,12/21/2015
Denver Nuggets,Utah Jazz,88,97,181,-213,15,12/18/2015
New Orleans Pelicans,Utah Jazz,104,94,134,-156,15,12/16/2015
Houston Rockets,Denver Nuggets,108,114,-175,152,15,12/14/2015
Minnesota Timberwolves,Denver Nuggets,108ÿ,111,-105,-110,15,12/11/2015
Oklahoma City Thunder,Utah Jazz,94,90,-161,141,15,12/11/2015
Orlando Magic,Phoenix Suns,104,107,165,-192,16,12/9/2015
New York Knicks,Utah Jazz,85,106,125,-145,16,12/9/2015
Orlando Magic,Denver Nuggets,85,74,-159,139,15,12/8/2015
Indiana Pacers,Utah Jazz,119ÿ,122,-123,108,15,12/5/2015
Orlando Magic,Utah Jazz,103,94,150,-179,16,12/3/2015
Golden State Warriors,Utah Jazz,106,103,-333,276,16,11/30/2015
New Orleans Pelicans,Utah Jazz,87,101,197,-238,16,11/28/2015
San Antonio Spurs,Denver Nuggets,91,80,-345,286,16,11/27/2015
New Orleans Pelicans,Phoenix Suns,120,114,144,-167,16,11/25/2015
Los Angeles Clippers,Denver Nuggets,111,94,-294,242,16,11/24/2015
Oklahoma City Thunder,Utah Jazz,111,89,112,-130,16,11/23/2015
Phoenix Suns,Denver Nuggets,114,107,-152,129,16,11/20/2015
Toronto Raptors,Utah Jazz,89,93,154,-179,16,11/18/2015
Los Angeles Lakers,Phoenix Suns,101,120,555,-769,16,11/16/2015
Toronto Raptors,Sacramento Kings,101,107,-130,112,16,11/15/2015
Denver Nuggets,Phoenix Suns,81,105,261,-323,16,11/14/2015
Houston Rockets,Denver Nuggets,98,107,-256,214,16,11/13/2015
Milwaukee Bucks,Denver Nuggets,102,103,139,-159,16,11/11/2015
Portland Trail Blazers,Denver Nuggets,104,108,-116,100,16,11/9/2015
Detroit Pistons,Portland Trail Blazers,120,103,106,-127,16,11/8/2015
Memphis Grizzlies,Utah Jazz,79,89,117,-139,16,11/7/2015
Utah Jazz,Denver Nuggets,96,84,-147,125,16,11/5/2015
San Antonio Spurs,Dallas Mavericks,116,90,-270,229,16,2/5/2016
Los Angeles Lakers,New Orleans Pelicans,99,96,398,-526,16,2/4/2016
Charlotte Hornets,Los Angeles Lakers,101,82,-172,148,15,1/31/2016
Detroit Pistons,Denver Nuggets,101,104,-192,163,15,1/23/2016
Houston Rockets,Los Angeles Lakers,112,95,-526,415,15,1/17/2016
Cleveland Cavaliers,Houston Rockets,91,77,-132,114,15,1/15/2016
Utah Jazz,Los Angeles Lakers,86,74,-161,141,15,1/10/2016
Miami Heat,Phoenix Suns,103,95,-208,177,15,1/8/2016
Memphis Grizzlies,Oklahoma City Thunder,94,112,300,-370,15,1/6/2016
Phoenix Suns,Los Angeles Lakers,77,97,-116,102,15,1/3/2016
Portland Trail Blazers,Phoenix Suns,106,96,150,-172,15,12/11/2015
Los Angeles Lakers,San Antonio Spurs,87,109,1365,-2500,15,12/11/2015
Atlanta Hawks,Dallas Mavericks,98,95,-118,102,16,12/9/2015
Cleveland Cavaliers,New Orleans Pelicans,108ÿ,114,-196,168,16,12/4/2015
San Antonio Spurs,Memphis Grizzlies,103,83,-154,133,16,12/3/2015
Indiana Pacers,Los Angeles Lakers,107,103,-556,426,16,11/29/2015
Golden State Warriors,Phoenix Suns,135,116,-400,326,16,11/27/2015
Portland Trail Blazers,Los Angeles Lakers,107,93,-141,121,16,11/22/2015
Detroit Pistons,Los Angeles Lakers,85,97,-200,171,16,11/15/2015
Detroit Pistons,Phoenix Suns,100,92,161,-189,16,11/6/2015
Toronto Raptors,Portland Trail Blazers,110,103,104,-122,16,2/4/2016
Chicago Bulls,Sacramento Kings,107,102,149,-175,16,2/3/2016
Milwaukee Bucks,Portland Trail Blazers,95,107,245,-294,15,2/2/2016
Milwaukee Bucks,Sacramento Kings,104,111,104,-123,15,2/1/2016
Charlotte Hornets,Portland Trail Blazers,91,109,202,-238,15,1/29/2016
Sacramento Kings,Portland Trail Blazers,97,112,171,-200,15,1/26/2016
Charlotte Hornets,Sacramento Kings,129ÿ,128,294,-357,15,1/25/2016
Atlanta Hawks,Sacramento Kings,88,91,-111,-104,15,1/21/2016
Utah Jazz,Portland Trail Blazers,85,99,135,-156,15,1/13/2016
New Orleans Pelicans,Sacramento Kings,109,97,225,-263,15,1/13/2016
Golden State Warriors,Sacramento Kings,128,116,-400,336,15,1/9/2016
Golden State Warriors,Portland Trail Blazers,128,108,-500,405,15,1/8/2016
Los Angeles Clippers,Portland Trail Blazers,109,98,-164,142,15,1/6/2016
Memphis Grizzlies,Portland Trail Blazers,91,78,-122,106,15,1/4/2016
Denver Nuggets,Portland Trail Blazers,103,110,213,-250,15,12/30/2015
Philadelphia 76ers,Sacramento Kings,110,105,462,-588,15,12/30/2015
Cleveland Cavaliers,Portland Trail Blazers,76,105,-333,279,15,12/26/2015
Houston Rockets,Sacramento Kings,97,107,118,-135,15,12/15/2015
New Orleans Pelicans,Portland Trail Blazers,101,105,134,-156,15,12/14/2015
New York Knicks,Portland Trail Blazers,112,110,140,-159,15,12/12/2015
Utah Jazz,Sacramento Kings,106,114,121,-139,15,12/8/2015
Indiana Pacers,Portland Trail Blazers,111,123,-139,121,16,12/3/2015
Boston Celtics,Sacramento Kings,114,97,-137,118,16,12/3/2015
Dallas Mavericks,Portland Trail Blazers,115ÿ,112,106,-122,16,12/1/2015
Dallas Mavericks,Sacramento Kings,98,112,110,-127,16,11/30/2015
Los Angeles Lakers,Portland Trail Blazers,96,108,323,-400,16,11/28/2015
Minnesota Timberwolves,Sacramento Kings,101,91,133,-154,16,11/27/2015
Chicago Bulls,Portland Trail Blazers,93,88,-145,125,16,11/24/2015
Los Angeles Clippers,Portland Trail Blazers,91,102,-175,148,16,11/20/2015
Brooklyn Nets,Sacramento Kings,109,111,224,-263,16,11/13/2015
Detroit Pistons,Sacramento Kings,92,101,-125,108,16,11/11/2015
San Antonio Spurs,Sacramento Kings,106,88,-345,280,16,11/9/2015
Golden State Warriors,Sacramento Kings,103,94,-1667,958,16,11/7/2015
Minnesota Timberwolves,Los Angeles Clippers,108,102,520,-714,16,2/3/2016
Minnesota Timberwolves,Los Angeles Lakers,115,119,-182,156,15,2/2/2016
Los Angeles Lakers,Los Angeles Clippers,93,105,1137,-2000,15,1/29/2016
Chicago Bulls,Los Angeles Lakers,114,91,-435,354,15,1/28/2016
Dallas Mavericks,Golden State Warriors,107,127,1630,-5000,15,1/27/2016
Dallas Mavericks,Los Angeles Lakers,92,90,-278,229,15,1/26/2016
San Antonio Spurs,Golden State Warriors,90,120,168,-196,15,1/25/2016
Los Angeles Lakers,Portland Trail Blazers,103,121,595,-833,15,1/23/2016
Indiana Pacers,Sacramento Kings,97,108,129,-149,15,1/23/2016
Indiana Pacers,Golden State Warriors,110,122,790,-1250,15,1/22/2016
San Antonio Spurs,Los Angeles Lakers,108,95,-3333,1527,15,1/22/2016
San Antonio Spurs,Phoenix Suns,117,89,-3333,1525,15,1/21/2016
Sacramento Kings,Los Angeles Lakers,112,93,-294,249,15,1/20/2016
Atlanta Hawks,Portland Trail Blazers,104,98,-120,104,15,1/20/2016
Houston Rockets,Los Angeles Clippers,132ÿ,140,185,-227,15,1/18/2016
Sacramento Kings,Los Angeles Clippers,110,103,159,-185,15,1/16/2016
Los Angeles Lakers,Golden State Warriors,98,116,1592,-5000,15,1/14/2016
Miami Heat,Los Angeles Clippers,90,104,131,-149,15,1/13/2016
New Orleans Pelicans,Los Angeles Lakers,91,95,-132,114,15,1/12/2016
Miami Heat,Golden State Warriors,103,111,1005,-1667,15,1/11/2016
Oklahoma City Thunder,Los Angeles Lakers,117,113,-2000,1240,15,1/8/2016
Los Angeles Lakers,Sacramento Kings,115,118,348,-435,15,1/7/2016
Golden State Warriors,Los Angeles Lakers,109,88,-1667,1110,15,1/5/2016
Charlotte Hornets,Golden State Warriors,101,111,682,-909,15,1/4/2016
Denver Nuggets,Golden State Warriors,108ÿ,111,1175,-1667,14,1/2/2016
Philadelphia 76ers,Los Angeles Clippers,99,130,948,-1429,15,1/2/2016
Philadelphia 76ers,Los Angeles Lakers,84,93,123,-141,15,1/1/2016
Sacramento Kings,Golden State Warriors,103,122,1033,-1667,15,12/28/2015
Los Angeles Clippers,Los Angeles Lakers,94,84,-1250,813,15,12/25/2015
Utah Jazz,Golden State Warriors,85,103,911,-1429,15,12/23/2015
Oklahoma City Thunder,Los Angeles Lakers,120,85,-1667,1101,15,12/23/2015
Oklahoma City Thunder,Los Angeles Clippers,100,99,-125,110,16,12/21/2015
Milwaukee Bucks,Golden State Warriors,112,121,1719,-5000,15,12/18/2015
New Orleans Pelicans,Phoenix Suns,88,104,135,-156,15,12/18/2015
Houston Rockets,Los Angeles Lakers,107,87,-263,223,15,12/17/2015
Phoenix Suns,Golden State Warriors,103,128,656,-909,15,12/16/2015
Milwaukee Bucks,Los Angeles Clippers,90,103,563,-769,15,12/16/2015
Milwaukee Bucks,Los Angeles Lakers,95,113,-172,149,15,12/15/2015
New York Knicks,Sacramento Kings,97,99,212,-250,15,12/10/2015
Orlando Magic,Los Angeles Clippers,101,103,112,-130,15,12/5/2015
Indiana Pacers,Los Angeles Clippers,103,91,-128,110,16,12/2/2015
Portland Trail Blazers,Los Angeles Clippers,87,102,271,-333,16,11/30/2015
Sacramento Kings,Golden State Warriors,101,120,1326,-2500,16,11/28/2015
New Orleans Pelicans,Los Angeles Clippers,90,111,231,-278,16,11/27/2015
Utah Jazz,Los Angeles Clippers,102,91,173,-200,16,11/25/2015
Los Angeles Lakers,Golden State Warriors,77,111,1492,-3333,16,11/24/2015
Chicago Bulls,Golden State Warriors,94,106,362,-455,16,11/20/2015
Toronto Raptors,Los Angeles Lakers,102,91,-278,231,16,11/20/2015
Golden State Warriors,Los Angeles Clippers,124,117,-227,193,16,11/19/2015
Chicago Bulls,Phoenix Suns,103,97,125,-147,16,11/18/2015
Toronto Raptors,Golden State Warriors,110,115,426,-526,16,11/17/2015
Brooklyn Nets,Golden State Warriors,99ÿ,107,1360,-3333,16,11/14/2015
Los Angeles Clippers,Phoenix Suns,104,118,104,-120,16,11/12/2015
San Antonio Spurs,Portland Trail Blazers,113,101,-263,223,16,11/11/2015
Detroit Pistons,Golden State Warriors,95,109,773,-1111,16,11/9/2015
Memphis Grizzlies,Los Angeles Clippers,92,94,261,-323,16,11/9/2015
Houston Rockets,Los Angeles Clippers,109,105,184,-217,16,11/7/2015
Denver Nuggets,Golden State Warriors,104,119,1582,-5000,16,11/6/2015
Houston Rockets,Sacramento Kings,116,110,-196,164,16,11/6/2015
Memphis Grizzlies,Portland Trail Blazers,96,115,-182,154,16,11/5/2015
Los Angeles Clippers,Golden State Warriors,108,112,276,-345,16,11/4/2015
